"Date","Price","Open","High","Low","Vol.","Change %"
"17-05-2022","707.05","695.00","710.00","690.85","4.85M","2.00%"
"16-05-2022","693.20","685.85","698.00","679.65","5.41M","0.48%"
"13-05-2022","689.90","713.00","713.00","684.75","11.94M","-2.20%"
"12-05-2022","705.40","715.25","722.80","701.25","6.75M","-2.41%"
"11-05-2022","722.85","719.65","735.00","716.90","6.92M","0.44%"
"10-05-2022","719.65","711.00","728.50","710.15","6.75M","1.15%"
"09-05-2022","711.50","706.10","720.50","704.45","4.82M","0.18%"
"06-05-2022","710.25","711.25","723.90","707.75","5.91M","-1.21%"
"05-05-2022","718.95","726.00","733.10","714.25","4.84M","-0.48%"
"04-05-2022","722.40","737.00","739.35","717.00","6.79M","-2.56%"
"02-05-2022","741.35","734.00","742.95","730.35","3.94M","0.32%"
"29-04-2022","739.00","752.00","761.00","735.55","7.22M","-1.12%"
"28-04-2022","747.35","751.00","754.30","744.60","6.10M","-0.68%"
"27-04-2022","752.50","750.00","761.55","746.40","4.57M","-0.50%"
"26-04-2022","756.30","745.00","758.90","739.10","4.99M","2.29%"
"25-04-2022","739.35","729.95","743.00","729.15","3.57M","0.08%"
"22-04-2022","738.75","731.00","740.90","729.00","5.18M","0.41%"
"21-04-2022","735.75","743.90","743.90","730.00","6.11M","-0.49%"
"20-04-2022","739.35","730.05","744.50","723.95","6.63M","2.19%"
"19-04-2022","723.50","739.00","739.00","716.85","9.96M","-0.82%"
"18-04-2022","729.50","736.65","740.15","723.40","8.95M","-1.51%"
"13-04-2022","740.65","742.00","756.50","737.95","6.34M","-0.13%"
"12-04-2022","741.65","759.95","759.95","740.10","3.90M","-2.16%"
"11-04-2022","758.05","757.00","765.20","756.00","4.93M","-0.53%"
"08-04-2022","762.10","768.35","768.35","757.60","5.58M","-0.04%"
"07-04-2022","762.40","775.00","777.85","759.55","5.82M","-1.71%"
"06-04-2022","775.65","764.00","780.70","763.00","7.49M","1.18%"
"05-04-2022","766.60","767.80","773.80","761.00","3.99M","-0.16%"
"04-04-2022","767.80","757.85","775.00","756.20","5.78M","1.23%"
"01-04-2022","758.50","759.80","766.65","749.25","5.92M","0.47%"
"31-03-2022","754.95","753.00","759.00","739.70","7.37M","0.73%"
"30-03-2022","749.50","762.75","769.90","744.60","9.94M","-0.72%"
"29-03-2022","754.95","740.40","763.00","737.00","15.83M","2.99%"
"28-03-2022","733.05","715.25","737.00","710.10","7.96M","3.34%"
"25-03-2022","709.35","712.30","714.45","705.85","2.93M","0.42%"
"24-03-2022","706.35","698.00","708.85","697.85","3.60M","0.20%"
"23-03-2022","704.95","719.25","719.85","703.00","7.97M","-1.99%"
"22-03-2022","719.25","708.50","721.00","705.85","3.00M","1.56%"
"21-03-2022","708.20","722.00","724.35","706.80","6.32M","-2.03%"
"17-03-2022","722.90","720.00","727.95","715.00","8.17M","1.53%"
"16-03-2022","712.00","710.00","715.50","705.00","3.84M","1.27%"
"15-03-2022","703.10","699.00","709.50","695.50","6.01M","0.39%"
"14-03-2022","700.40","688.15","704.85","688.15","4.02M","0.80%"
"11-03-2022","694.85","696.70","702.40","691.50","3.35M","-0.42%"
"10-03-2022","697.75","699.95","707.50","690.60","5.99M","0.90%"
"09-03-2022","691.50","682.00","698.00","674.30","9.90M","1.24%"
"08-03-2022","683.00","675.00","686.85","667.60","8.46M","1.13%"
"07-03-2022","675.40","640.00","679.35","639.00","12.62M","3.32%"
"04-03-2022","653.70","665.00","667.95","650.00","7.09M","-2.73%"
